"role","file","source","source_commit","note"
"frq","bet.frq","reference-inputs/job-5319/mfcl-inputs/bet.frq","","Exact retained Job 5319 effort-crept bet.frq; SHA-256 d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c. For F21/F22/F23, observed LF counts in bins with midpoint above the 70 cm cutoff are set to zero. This model retains its previously selected cutoff treatment. Counts are not transferred; LF categories remain in the MFCL option-3 likelihood; MFCL internally renormalizes retained counts; an all-zero LF vector becomes one -1 whole-sample sentinel. Effort creep is not reapplied."
"ini","bet.ini","reference-inputs/job-5319/mfcl-inputs/bet.ini","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Tag-control ini SHA-256 3c9503e0762547762bab20b26997c3a4e627b0965b1d88418d71a1a17f40bb11; all 98 tag_flags(:,2) values remain 0. Group 17 harmonization: generated bet.ini copies replace every positive Group 17 target/penalty cell with 52.015/336.854; the archived ini hash above describes the pre-transform source."
"tag","bet.tag","reference-inputs/job-5319/mfcl-inputs/bet.tag","79733c429b320e84ed5047aa6c932c8f19dab187","Latest tag data from PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep@79733c429b320e84ed5047aa6c932c8f19dab187 (main); tag SHA-256 3f1b836a844ec2ca8e70fc5814d94c5a1ebc37ff4a5571c1dc1f6b83e477dfe8; byte-identical to PDH 13-DataWeighting."
"age_length","bet.age_length","reference-inputs/age-length-variants/bet.2026.sub.basin.1.age_length","96a06d21ef3c666f39ce456d3a6818b6c17324c4","Exact SUB100 age-length input from https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-age-length-build@96a06d21ef3c666f39ce456d3a6818b6c17324c4; original file bet.2026.sub.basin.1.age_length; SHA-256 7e6c0513e2f36ca2044c1d5a2de37c589c75fafabc3fd96b45683cbb1236b083."
"reg_scaling","bet.reg_scaling","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). MFCL-ready active matrix, exactly full-source rows 53:72 (20x5); fixed weight 50."
"reg_scaling_full","bet.reg_scaling.full","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling.full","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Complete 292x5 sensitivity source retained for alternative period windows; not read by MFCL."
"doitall","doitall.sh","reference-inputs/job-5319/mfcl-inputs/doitall.sh","","Retained Job 5319 doitall control sequence except parest flag 313=1 and three new flag-49 overrides for F21/F22/F23, each with divisor 200; inherited settings for every other fishery are unchanged."
"mfcl_config","mfcl.cfg","reference-inputs/job-5319/mfcl-inputs/mfcl.cfg","","Byte-identical to the retained Job 5319 anchor in the refreshed reference bundle; reference-set SHA-256 a8e0598d06a1f795bf5cd0ced5c19e4462fa16921fde7412b295e460cacc8dbc."
"fishery_map","fishery_map.R","reference-inputs/job-5319/mfcl-inputs/fishery_map.R","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Updated fishery names used by MFCLShiny."
"tag_reporting_map","tag_rep_map.R","reference-inputs/job-5319/mfcl-inputs/tag_rep_map.R","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Updated reporting-group map matching bet.ini and bet.tag. Group 17 harmonization: target_values and penalty_values report the same approved 52.015/336.854 pair."
"frq_transform_audit","lf_cutoff_audit.csv","reference-inputs/job-5319/mfcl-inputs/bet.frq",,"For F21/F22/F23, observed LF counts in bins with midpoint above the 70 cm cutoff are set to zero. The audit reconciles removed counts, affected records, all-zero LF sentinels, and minimum-sample crossings."
"tag_reporting_group17_prior_audit","tag_reporting_group17_prior_audit.csv","notes/tag-reporting-group17-prior.md","","Generator audit of 188 positive Group 17 event-row/fishery cells. Generation fails unless all resolve to the single target/penalty pair 52.015/336.854."
