"source_job","fishery","fishery_name","group","group_name","recommended_divisor"
12307,1,"LL.WEST.ALL.1",1,"Main longline",90
12307,2,"LL.EAST.ALL.1",1,"Main longline",90
12307,3,"LL.US.1",1,"Main longline",90
12307,4,"LL.ALL.2",1,"Main longline",90
12307,5,"LL.OS.2",2,"Offshore longline",84
12307,6,"LL.ARCH.3",1,"Main longline",90
12307,7,"LL.WEST.3",1,"Main longline",90
12307,8,"LL.EAST.4",1,"Main longline",90
12307,9,"LL.OS.3",2,"Offshore longline",84
12307,10,"LL.ALL.5",1,"Main longline",90
12307,11,"LL.AU.5",1,"Main longline",90
12307,12,"PS.JP.1",3,"Purse seine, set type unavailable",139
12307,13,"PL.JP.1",7,"Other extraction fisheries",411
12307,14,"HL.ID.2",6,"Handline",119
12307,15,"HL.PH.2",6,"Handline",119
12307,16,"PL.ALL.2",7,"Other extraction fisheries",411
12307,17,"PS.ID.2",3,"Purse seine, set type unavailable",139
12307,18,"PS.PH.2",3,"Purse seine, set type unavailable",139
12307,19,"PS.ASS.2",4,"Associated purse seine",69
12307,20,"PS.UNA.2",5,"Unassociated purse seine",47
12307,21,"MISC.ID.2",7,"Other extraction fisheries",411
12307,22,"MISC.PH.2",7,"Other extraction fisheries",411
12307,23,"MISC.VN.2",7,"Other extraction fisheries",411
12307,24,"PL.ALL.WEST.3",7,"Other extraction fisheries",411
12307,25,"PS.ASSOC.WEST.3",4,"Associated purse seine",69
12307,26,"PS.ASSOC.EAST.4",4,"Associated purse seine",69
12307,27,"PS.UNASSOC.WEST.3",5,"Unassociated purse seine",47
12307,28,"PS.UNASSOC.EAST.4",5,"Unassociated purse seine",47
12307,29,"Index R1",8,"Regional index fisheries",65
12307,30,"Index R2",8,"Regional index fisheries",65
12307,31,"Index R3",8,"Regional index fisheries",65
12307,32,"Index R4",8,"Regional index fisheries",65
12307,33,"Index R5",8,"Regional index fisheries",65
