fishery,n,old_divisor,continuous_divisor,recommended_divisor,raw_multiplier,realized_multiplier,mean_z,sd_z,status,source_job,method
1,179,40,115.867487977688,116,0.345221948780856,0.344827586206897,-0.318834810825165,1.70196568691681,ok,12292,Francis TA1.8
2,124,40,147.404660861883,147,0.271361840026753,0.272108843537415,-0.160169625814788,1.91966573172182,ok,12292,Francis TA1.8
3,80,20,41.9649008696757,42,0.476588758355729,0.476190476190476,0.0293355523201077,1.44853203053429,ok,12292,Francis TA1.8
4,142,40,110.357336225439,110,0.362458911823385,0.363636363636364,-0.271149982328678,1.66100373438351,ok,12292,Francis TA1.8
5,28,20,61.606430003816,62,0.324641437570091,0.32258064516129,0.00481690102722161,1.75508447095597,ok,12292,Francis TA1.8
6,50,40,23.4100829365684,23,1.70866545447034,1.73913043478261,-0.410897247112869,0.765017694837323,ok,12292,Francis TA1.8
7,202,40,75.7774766130501,76,0.527861335423663,0.526315789473684,-0.431961470697314,1.37638545303496,ok,12292,Francis TA1.8
8,70,40,41.2043695801648,41,0.970770828617542,0.975609756097561,-0.0538814007028674,1.0149429735232,ok,12292,Francis TA1.8
9,128,20,86.5965543170073,87,0.230956071609792,0.229885057471264,-0.447720587982318,2.08082380701739,ok,12292,Francis TA1.8
10,26,40,119.960279290951,120,0.333443705169978,0.333333333333333,-0.0995567022025477,1.73176412431768,ok,12292,Francis TA1.8
11,106,20,47.9153348128922,48,0.417402906148926,0.416666666666667,-0.206986095471565,1.54782645688869,ok,12292,Francis TA1.8
12,10,20,207.201597688705,207,0.0965243522400228,0.0966183574879227,-0.373300451095767,3.2187077973055,ok,12292,Francis TA1.8
13,45,20,377.457379902998,377,0.0529861146313784,0.0530503978779841,1.2846293764804,4.34429154122394,ok,12292,Francis TA1.8
14,26,20,15.9016033327742,16,1.25773480707941,1.25,0.241923272681668,0.891672679091778,ok,12292,Francis TA1.8
15,108,20,142.428831067627,142,0.140421007811991,0.140845070422535,0.672901068137019,2.66860292163922,ok,12292,Francis TA1.8
16,17,20,286.057401756403,286,0.0699160374008826,0.0699300699300699,-1.54753347629582,3.78191354843288,ok,12292,Francis TA1.8
17,13,20,88.3348980837156,88,0.226411083658532,0.227272727272727,0.201183757933494,2.10160531598723,ok,12292,Francis TA1.8
18,31,20,146.761308633354,147,0.136275699543978,0.136054421768707,-0.168576228403932,2.70888638219984,ok,12292,Francis TA1.8
19,18,20,148.091178175807,148,0.135051933858322,0.135135135135135,0.752766715855177,2.72113191682989,ok,12292,Francis TA1.8
20,2,20,254.090595094981,254,0.0787120829581426,0.078740157480315,2.53649345846415,3.56434141949801,ok,12292,Francis TA1.8
21,15,200,119.807990427713,120,1.6693377402125,1.66666666666667,0.220013829328045,0.773976712917492,ok,12292,Francis TA1.8
22,125,200,405.063919189688,405,0.493749234442038,0.493827160493827,0.666242562798658,1.42313723721517,ok,12292,Francis TA1.8
23,21,200,730.43100201854,730,0.27381094100237,0.273972602739726,1.1490913154208,1.91106122614967,ok,12292,Francis TA1.8
24,17,20,35.0655963854682,35,0.570359613455437,0.571428571428571,-0.299261623173892,1.32411473040421,ok,12292,Francis TA1.8
25,48,20,27.3105851281493,27,0.73231678875257,0.740740740740741,-1.52252701457489,1.16855862343635,ok,12292,Francis TA1.8
26,27,20,39.3447487785636,39,0.508327047976901,0.512820512820513,-1.50172946769433,1.40258241787361,ok,12292,Francis TA1.8
27,21,20,18.6693371157794,19,1.07127531502423,1.05263157894737,-0.267794442618178,0.96616088504398,ok,12292,Francis TA1.8
28,23,20,49.4487480886521,49,0.404459177897565,0.408163265306122,0.339339298329854,1.57239861499322,ok,12292,Francis TA1.8
29,218,40,115.74974618414,116,0.345573111982173,0.344827586206897,-0.264797474340106,1.70110071853595,ok,12292,Francis TA1.8
30,126,40,56.8373535169349,57,0.703762535109624,0.701754385964912,-0.121195858306744,1.19202929407099,ok,12292,Francis TA1.8
31,243,40,50.7161375576944,51,0.788703594679232,0.784313725490196,-0.22925722345171,1.12601218418912,ok,12292,Francis TA1.8
32,89,40,56.3036280421176,56,0.710433792473874,0.714285714285714,-0.00876698686674581,1.18641927709092,ok,12292,Francis TA1.8
33,21,40,38.4690702691252,38,1.03979637979719,1.05263157894737,-0.659996477273282,0.980676683075584,ok,12292,Francis TA1.8
