"role","file","source","source_commit","sha256","note"
"age_length","bet.age_length","Kflow Job 12307 fitted model S023","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","Exact SUB075 age-length input inherited by Job 12307."
"frq","bet.frq","Kflow Job 12307 fitted model S023","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c","Exact effort-crept FRQ inherited by Job 12307; effort creep is not reapplied."
"ini","bet.ini","Kflow Job 12307 fitted model S023","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","cccda03c122fbd11995132bd68647c5703c38e7fc25538c4ba91fa22024ecfeb","Exact Job 12307 INI with MIX015 tag mixing, TAGF2ON, and PTTP26 reporting-rate controls."
"reg_scaling","bet.reg_scaling","Kflow Job 12307 fitted model S023","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","5f047ddb4053d1f6df9ace18e85e440b11553de246d024ce8138b427f5f9f7e3","Exact active regional-scaling matrix inherited by Job 12307; REGW1 is retained."
"reg_scaling_full","bet.reg_scaling.full","Kflow Job 12307 fitted model S023","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","Complete regional-scaling sensitivity source retained for audit; MFCL does not read this file."
"tag","bet.tag","Kflow Job 12307 fitted model S023","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","Exact low-recapture-filtered tag input inherited by Job 12307."
"doitall","doitall.sh","Kflow Job 12307 fitted model S023","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","d9fba7336dc5f3ff436bd5e1eb11fdd3ef414f9924421419a0c11bab5fdf266f","Derived from Job 12307: only all 33 fishery flag-49 divisors and five index flag-92 values are replaced; REGW1 and all other controls are retained."
"fishery_map","fishery_map.R","Kflow Job 12307 fitted model S023","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","007f9ad46383da27b23e10d6f3a55bfcc5cc95c03e93f4fb4dac81d0d30aa38f","Exact Job 12307 fishery metadata."
"mfcl_config","mfcl.cfg","Kflow Job 12307 fitted model S023","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","2ec8a291fae62c6f37541aec1de37444626d42b3290b371bb42b63d510034eae","Exact Job 12307 MFCL configuration."
"tag_reporting_map","tag_rep_map.R","Kflow Job 12307 fitted model S023","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","c950b2e1472da0a5597e911485f05785675eb017f2a3e9bab47f1f0e42b00852","Exact Job 12307 tag-reporting metadata."
"francis_audit","francis_weights.csv","Calculated from Kflow Job 12307 fitted output","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","b51950d32f5203b292c6df3c00fa60354ea1157bc9a0641eea444c65b0dd1144","Full Francis TA1.8 audit with S1 comparison columns."
"cpue_audit","cpue_mle.csv","Calculated from Kflow Job 12307 fitted output","8df6a0e4b9856c5cd1e06ab7010c6e71c773f428","b9c86ff111f2baba21e0ddd8d3247e42ceec35071e89e757f79d44cbbd69335c","CPUE likelihood MLE sigma audit with S1 comparison and direct numerical-likelihood verification."
