"source_job","fishery","fishery_name","group","group_name","recommended_divisor"
12292,1,"LL.WEST.ALL.1",1,"Main longline",88
12292,2,"LL.EAST.ALL.1",1,"Main longline",88
12292,3,"LL.US.1",1,"Main longline",88
12292,4,"LL.ALL.2",1,"Main longline",88
12292,5,"LL.OS.2",2,"Offshore longline",82
12292,6,"LL.ARCH.3",1,"Main longline",88
12292,7,"LL.WEST.3",1,"Main longline",88
12292,8,"LL.EAST.4",1,"Main longline",88
12292,9,"LL.OS.3",2,"Offshore longline",82
12292,10,"LL.ALL.5",1,"Main longline",88
12292,11,"LL.AU.5",1,"Main longline",88
12292,12,"PS.JP.1",3,"Purse seine, set type unavailable",139
12292,13,"PL.JP.1",7,"Other extraction fisheries",400
12292,14,"HL.ID.2",6,"Handline",118
12292,15,"HL.PH.2",6,"Handline",118
12292,16,"PL.ALL.2",7,"Other extraction fisheries",400
12292,17,"PS.ID.2",3,"Purse seine, set type unavailable",139
12292,18,"PS.PH.2",3,"Purse seine, set type unavailable",139
12292,19,"PS.ASS.2",4,"Associated purse seine",69
12292,20,"PS.UNA.2",5,"Unassociated purse seine",45
12292,21,"MISC.ID.2",7,"Other extraction fisheries",400
12292,22,"MISC.PH.2",7,"Other extraction fisheries",400
12292,23,"MISC.VN.2",7,"Other extraction fisheries",400
12292,24,"PL.ALL.WEST.3",7,"Other extraction fisheries",400
12292,25,"PS.ASSOC.WEST.3",4,"Associated purse seine",69
12292,26,"PS.ASSOC.EAST.4",4,"Associated purse seine",69
12292,27,"PS.UNASSOC.WEST.3",5,"Unassociated purse seine",45
12292,28,"PS.UNASSOC.EAST.4",5,"Unassociated purse seine",45
12292,29,"Index R1",8,"Regional index fisheries",73
12292,30,"Index R2",8,"Regional index fisheries",73
12292,31,"Index R3",8,"Regional index fisheries",73
12292,32,"Index R4",8,"Regional index fisheries",73
12292,33,"Index R5",8,"Regional index fisheries",73
