"role","file","source","source_commit","note"
"frq","bet.frq","reference-inputs/job-5319/mfcl-inputs/bet.frq","","Exact retained Job 5319 effort-crept bet.frq; SHA-256 d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c. For F21/F22/F23, observed LF counts in bins with midpoint above the 90 cm cutoff are set to zero. The 90 cm threshold reproduces the historical treatment documented in WCPFC-SC19-2023/SA-WP-05 for the corresponding Indonesia, Philippines, and Vietnam domestic small-fish length compositions; 90 cm is retained and only bins with midpoint greater than 90 cm are zeroed. Counts are not transferred; LF categories remain in the MFCL option-3 likelihood; MFCL internally renormalizes retained counts; an all-zero LF vector becomes one -1 whole-sample sentinel. Effort creep is not reapplied."
"ini","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/548de05aff9bdc96a9ee7a817bbfd8068020ba26/BET/ini.mix-period/bet.2026.mix-0.2.ini","548de05aff9bdc96a9ee7a817bbfd8068020ba26","Upstream INI from PacificCommunity/ofp-sam-2026-BET-YFT-build-ini@548de05aff9bdc96a9ee7a817bbfd8068020ba26 path BET/ini.mix-period/bet.2026.mix-0.2.ini. Tag-control ini SHA-256 932f57a96140400ae327cc47291316840c63c492542724a967c48ed002157117; S010-TC1-CUT90-BASE075-TAGF2ON-REGW25 restores all 98 tag_flags(:,2) values to the upstream value 1; its exact flag-column-2=0 control is S007-TC1-CUT90-BASE075-TAGF2OFF-REGW25; column 1 and every other INI value remain unchanged."
"tag","bet.tag","reference-inputs/job-5319/mfcl-inputs/bet.tag","79733c429b320e84ed5047aa6c932c8f19dab187","Latest tag data from PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep@79733c429b320e84ed5047aa6c932c8f19dab187 (main); tag SHA-256 3f1b836a844ec2ca8e70fc5814d94c5a1ebc37ff4a5571c1dc1f6b83e477dfe8; byte-identical to PDH 13-DataWeighting."
"age_length","bet.age_length","reference-inputs/job-5319/mfcl-inputs/bet.age_length","","MFCL-setting-identical to the retained Job 5319 anchor; public explanatory doitall comments are normalized in the refreshed reference bundle; reference-set SHA-256 a864b81f4d07321e977454a0d4c8389c8008b00159f374601f40ad6a6f7379d7."
"reg_scaling","bet.reg_scaling","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling","26c74dc6f303faa951b1ab331d7de14ea20b7489","MFCL-ready active 20x5 regional-scaling matrix inherited unchanged from the source model. Parest flag 77 is set to the sensitivity weight 25; flags 78-81 and the 1965-1969 target/covariance window are unchanged."
"reg_scaling_full","bet.reg_scaling.full","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling.full","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Complete 292x5 sensitivity source retained for alternative period windows; not read by MFCL."
"doitall","doitall.sh","reference-inputs/job-5319/mfcl-inputs/doitall.sh","","Retained Job 5319 doitall sequence with parest flag 313=1 and F21/F22/F23 flag-49 divisor 20. The inherited F1/F2/F4/F6/F7/F8/F10/F29-F33 divisor-40 block is retained because MFCL caps raw sample size at 1000 before division, which can mask the processed SC22 50% duplicate-use ISS reduction. Global LF/WF divisor 20 remains the default before Francis reweighting. The corrected N5 baseline assigns independent selectivity groups to F1-F28, applies the audited young-age, F9 monotonicity, and upper-age constraints, fixes the first two ages of F29-F33 to zero, uses five nodes, and splits regional-index groups F29-F33 in phase 5. Fish flag 24 group labels are contiguous in every phase without changing group membership. Fish flag 26=2 evaluates the flag-57 cubic spline on scaled mean length-at-age to produce final selectivity-at-age; flag 61 supplies nodes on that coordinate. Extraction constraints are mapped from PacificCommunity/ofp-sam-bet-yft-2026-single-area@5363029b509cacf902aef2866efdc04634c89045. This sensitivity changes only the MVN regional-scaling penalty weight from 50 to 25."
"mfcl_config","mfcl.cfg","reference-inputs/job-5319/mfcl-inputs/mfcl.cfg","","MFCL-setting-identical to the retained Job 5319 anchor; public explanatory doitall comments are normalized in the refreshed reference bundle; reference-set SHA-256 a864b81f4d07321e977454a0d4c8389c8008b00159f374601f40ad6a6f7379d7."
"fishery_map","fishery_map.R","reference-inputs/job-5319/mfcl-inputs/fishery_map.R","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Updated fishery names plus corrected independent F1-F28 display groups; regional indices share group 29 in phases 1-4 and split to groups 29:33 in phase 5."
"tag_reporting_map","tag_rep_map.R","reference-inputs/job-5319/mfcl-inputs/tag_rep_map.R","","Generated from the derived bet.ini and refreshed fishery_map.R; INI upstream PacificCommunity/ofp-sam-2026-BET-YFT-build-ini@548de05aff9bdc96a9ee7a817bbfd8068020ba26; fishery metadata Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). reporting groups match bet.ini and bet.tag."
